BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Varying-productivity,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2022 18:23:02:970 -0500,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration,mean-age,mean-inventories
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,1.000472991,0,1591.846323,0,-100,0,0,0.002062019,0,26.53077205
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.284,1.000472991,0.197306727,1761.005066,0,-100,0,0,0.002060059,1,7.112646435
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.352,1.01740209,1.4531701,1170.716706,0,-100,0.033333333,1,0.002061138,1.966666667,5.086832397
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.408,1.030741667,2.248666332,904.7186633,0,-100,0.066666667,3,0.002064774,2.833333333,7.299339526
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.476,1.038981175,2.561989352,820.9494458,0,-100,0.066666667,5,0.002069732,3.633333333,8.681004032
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.562,1.054613765,2.622938343,728.344692,0.304796274,-99.69520373,0.033333333,6,0.002072576,4.5,10.57712435
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.608,1.065724097,2.669584133,677.1601469,1.594524015,-98.10067971,0.033333333,7,0.00207452,5.333333333,9.745744928
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.65,1.079028114,2.65752865,607.4126836,1.34058579,-97.40470599,0,7,0.002076383,6.333333333,11.23481059
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.684,1.093933868,2.655331456,561.9062924,1.827779629,-96.22153844,0.033333333,8,0.002080194,7.1,9.465359285
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.692,1.111240095,2.636251896,518.4108642,3.198342934,-96.80165707,0.066666667,10,0.002086541,7.666666667,8.498023165
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,10,0.736,1.124111988,2.584806599,460.0368342,5.403264983,-92.73415191,0.033333333,11,0.002089091,8.366666667,8.976763334
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,11,0.736,1.14026594,2.530733443,498.6408972,1.890584789,-91.11576058,0.033333333,12,0.002094348,9.033333333,6.048063301
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,12,0.724,1.156426044,2.483256356,509.0890526,2.1672088,-89.88780082,0,12,0.002097764,10.03333333,6.328428216
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,13,0.696,1.166362905,2.429884628,559.0783059,3.698376319,-89.169548,0.033333333,13,0.002102145,10.9,5.315929447
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,14,0.676,1.181283428,2.372683475,619.0647834,4.918724649,-87.33578374,0.033333333,14,0.002109064,11.73333333,3.700123113
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,15,0.652,1.198374019,2.332445578,692.5090606,5.900075597,-84.51704452,0,14,0.002115117,12.73333333,2.366487759
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,16,0.598,1.210285517,2.302590719,688.3740597,5.452020651,-83.20423233,0,14,0.002123411,13.73333333,2.25
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,17,0.564,1.232174958,2.257832274,637.0019566,7.463222271,-84.051817,0.066666667,16,0.002132756,14.43333333,0.472673857
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,18,0.55,1.241352892,2.252654003,588.3265155,5.358408954,-83.99124517,0,16,0.002139683,15.43333333,2.129703526
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,19,0.568,1.256029048,2.171085757,608.1473441,9.762457213,-81.39638055,0.1,19,0.002147337,14.83333333,0.558788089
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,20,0.556,1.266642333,2.089878538,748.1536339,11.12721046,-79.87827451,0.033333333,20,0.002152887,15.2,0.709030585
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,21,0.524,1.273612286,2.065012725,752.2560422,11.73552401,-79.26219629,0,20,0.002158019,16.2,1.70814868
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,22,0.466,1.273126112,1.942297308,798.5510156,15.54695824,-76.8030571,0.133333333,24,0.002167687,14.56666667,1.948888819
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,23,0.44,1.279304203,1.933582954,920.9287148,11.14907073,-75.12518561,0,24,0.002171702,15.56666667,2.554026369
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,24,0.392,1.278026993,1.920455155,892.6707733,6.112238615,-76.33728578,0.033333333,25,0.002176556,16.2,3.292281927
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,25,0.372,1.276753264,1.83062382,1198.250235,6.970913278,-76.03366276,0.033333333,26,0.00218127,16.63333333,1.532479768
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,26,0.31,1.275093232,1.699439731,1288.591555,6.867644001,-73.57505152,0,26,0.002185761,17.63333333,1.23554403
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,27,0.25,1.275104331,1.755923966,1032.573471,6.694186572,-72.27619368,0,26,0.002187016,18.63333333,4.688922033
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,28,0.246,1.275660582,1.601166709,1432.533565,8.323129858,-68.5139059,0,26,0.002188427,19.63333333,3.851585874
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,29,0.198,1.273050211,1.432661947,1458.766003,11.66088718,-63.32361461,0,26,0.002186113,20.63333333,5.101052449
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,30,0.162,1.273050211,1.274829603,1430.338877,15.79146387,-55.01733773,0,26,0.002183701,21.63333333,6.046259016
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,31,0.138,1.26997298,1.089656295,1504.80752,15.72319498,-47.7610621,0,26,0.002182954,22.63333333,9.511008365
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,32,0.124,1.264307203,0.920388738,1472.272179,19.37635688,-37.18040419,0,26,0.002178991,23.63333333,15.0186024
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,33,0.15,1.263148003,0.814198766,1373.440829,30.27589077,-18.5511853,0,26,0.002179941,24.63333333,14.36985428
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,34,0.148,1.260138078,0.657034761,1547.029841,29.47477404,-6.200398,0,26,0.002187132,25.63333333,15.96885958
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,35,0.158,1.253782558,0.529763707,1427.612425,30.89988587,6.031428008,0,26,0.002185272,26.63333333,18.72916633
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,36,0.17,1.250515809,0.420456636,1460.221782,33.60601859,16.62053759,0.033333333,27,0.002192689,27,13.92314776
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,37,0.122,1.251381463,0.314302227,1535.499084,30.74201156,25.79423708,0,27,0.002196218,28,17.44817829
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,38,0.116,1.24387761,0.216564733,1455.991241,33.68669126,39.9178883,0,27,0.002211282,29,23.75455728
