BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Varying-productivity,,,,,,,,,,,,,,,,,,,,,,,
06/03/2022 16:30:50:263 -0500,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,0.999919523,0,1269.247066,0,-100,0,0,0.002062019
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.292,0.999919523,0.548240445,1573.278867,0,-100,0,0,0.002059648
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.378,1.016894471,1.821026052,1018.928506,0.144206799,-99.8557932,0.066666667,2,0.002063242
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.418,1.030871946,2.34812006,858.4947302,0.144206799,-99.8557932,0.166666667,7,0.002073094
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.476,1.046723787,2.549645103,960.0683661,1.442995225,-98.55700478,0,7,0.002071536
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.524,1.056808737,2.584395019,814.4179133,2.508770258,-97.45639523,0.066666667,9,0.002074194
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.566,1.065710718,2.613073191,782.7346305,1.699251457,-97.0210977,0,9,0.002075131
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.582,1.078086717,2.623521914,709.250633,3.13520394,-96.72058926,0.066666667,11,0.00208079
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.606,1.090419431,2.632960919,644.9058204,3.654863911,-95.98453312,0.033333333,12,0.002084211
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.656,1.110793708,2.587793958,595.7139086,5.3681717,-94.27122534,0,12,0.002086295
9,TRUE,90,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,10,0.676,1.125702578,2.558570645,569.3701445,6.334341157,-93.3667275,0.033333333,13,0.002090281
