"BehaviorSpace results (NetLogo 6.2.0)"
"multifirm_baseline.nlogo"
"single-firm_low_firm_number"
"08/23/2021 15:02:22:606 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","n-firms","transactions-per-month","n-households","setup-structure","index-in-use","framework-duration","new-agreements-per-month","[step]","TOTAL-BANKRUPT-FIRMS / n-firms","mean UNEMPLOYMENT-RATES","mean MEAN-PRICES","mean ALL-FIRM-PROFITS","mean BANKRUPT-FIRM-PROFITS","TOTAL-REVENUE"
"2","11","1","500","two-layer","no index","1","1","200","0.36363636363636365","0.020980000000000033","1.2501826535119616","2167.5302530123654","1662.696508014805","464160.2189107187"
"4","13","1","500","two-layer","no index","1","1","200","0.5384615384615384","0.03551000000000003","1.2624339936185545","1549.7407003009703","1220.5507599412813","459496.0462980593"
"7","16","1","500","two-layer","no index","1","1","200","1","0.02840000000000001","1.2573313224393952","1126.5072868067743","704.5903152588485","463464.35096034163"
"8","17","1","500","two-layer","no index","1","1","200","0.8823529411764706","0.028069999999999994","1.2600923296545838","1231.037273541242","903.139322334537","462265.07582462666"
"3","12","1","500","two-layer","no index","1","1","200","1","0.02598","1.2622437858672209","1512.9075463287484","1371.6055393371305","463832.40149517567"
"6","15","1","500","two-layer","no index","1","1","200","0.4","0.02478000000000001","1.2638676933978976","1747.3331445968613","1331.6422410995897","464177.20032255526"
"5","14","1","500","two-layer","no index","1","1","200","0.5714285714285714","0.021640000000000003","1.2632452971381636","1739.2162329753344","1006.5294350382911","465839.0042679388"
"1","10","1","500","two-layer","no index","1","1","200","0","0.015440000000000016","1.2830737527619942","3969.6490710179364","<RuntimePrimitiveException>","475711.2541411842"
"9","18","1","500","two-layer","no index","1","1","200","0.8333333333333334","0.027450000000000058","1.2535907120975214","1046.9255265088227","464.89911017890415","461207.2065983613"
"10","19","1","500","two-layer","no index","1","1","200","1.105263157894737","0.03359000000000001","1.2695814601900945","909.3362424032184","415.71747702910545","459529.6338157146"
"11","20","1","500","two-layer","no index","1","1","200","0.7","0.02926000000000001","1.2590670760591711","919.2360092841758","364.6816339946071","462084.7856838493"
"12","21","1","500","two-layer","no index","1","1","200","1.2857142857142858","0.03604000000000003","1.2614340591882696","614.2918815323242","475.2656691201027","460613.09260808036"
"13","22","1","500","two-layer","no index","1","1","200","1.3181818181818181","0.03325","1.2669094574797422","582.9417513905419","369.4487849988677","463241.5836391671"
"14","23","1","500","two-layer","no index","1","1","200","1.3043478260869565","0.031310000000000004","1.2695720179104424","546.6012695040126","182.29330212922613","463789.6697062924"
"15","24","1","500","two-layer","no index","1","1","200","1.0416666666666667","0.03354000000000003","1.2698792168993198","563.0159831986916","234.18866163276653","462894.4103185499"
"16","25","1","500","two-layer","no index","1","1","200","1.2","0.033370000000000004","1.269930134603208","559.6777350277756","201.79543669117248","462414.45753015444"
"17","26","1","500","two-layer","no index","1","1","200","1.2692307692307692","0.03404000000000003","1.260196459339327","449.1595599599945","214.39377977852743","461956.97662489105"
"19","28","1","500","two-layer","no index","1","1","200","1.1785714285714286","0.033500000000000044","1.2608093812036973","455.4515257523724","252.68309120908958","461317.801519734"
"18","27","1","500","two-layer","no index","1","1","200","1.1111111111111112","0.03424000000000003","1.2634729981957258","483.0849040331197","283.6490534960852","462432.75203158346"
"20","29","1","500","two-layer","no index","1","1","200","1.206896551724138","0.03439000000000005","1.2624601813567358","403.78851945045704","124.22387571669236","462071.24558037525"
"21","30","1","500","two-layer","no index","1","1","200","0.7666666666666667","0.03156000000000003","1.2674866912905898","514.5920029580558","155.65500990503133","463924.72334539634"
