"BehaviorSpace results (NetLogo 6.2.0)"
"multifirm_baseline.nlogo"
"double-firm_varying_firm_number"
"08/23/2021 15:13:24:075 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","n-firms","transactions-per-month","n-households","setup-structure","index-in-use","framework-duration","new-agreements-per-month","[step]","TOTAL-BANKRUPT-FIRMS / n-firms","mean UNEMPLOYMENT-RATES","mean MEAN-PRICES","mean ALL-FIRM-PROFITS","mean BANKRUPT-FIRM-PROFITS","TOTAL-REVENUE"
"2","30","1","500","two-layer","no index","1","1","200","1.1","0.03390000000000001","1.2722849840033554","419.8774138959248","204.3157326668452","463081.06049305556"
"1","20","1","500","two-layer","no index","1","1","200","0.7","0.03108000000000003","1.267672904008361","1042.8303924700397","688.2751056351568","462723.4529742007"
"3","40","1","500","two-layer","no index","1","1","200","1.1","0.035050000000000026","1.2724127785586052","190.65799154279176","44.657416478919124","462392.96531255596"
"4","50","1","500","two-layer","no index","1","1","200","1.52","0.04064000000000004","1.2796484220092659","71.335548447399","-13.290752257027421","460242.4713132678"
"6","70","1","500","two-layer","no index","1","1","200","1.6","0.05015999999999998","1.321286595958697","-53.21491671422999","-110.81342696231351","462379.901378136"
"5","60","1","500","two-layer","no index","1","1","200","1.5333333333333334","0.04580000000000004","1.3054908097964217","-12.133369971280098","-79.4964821820225","462039.0629945724"
"7","80","1","500","two-layer","no index","1","1","200","1.8125","0.05539000000000004","1.3462792664581167","-98.81112369528775","-137.75759742334802","462220.54467350186"
"8","90","1","500","two-layer","no index","1","1","200","2.111111111111111","0.06154000000000003","1.3649535045662577","-121.8266744968446","-150.75945326225295","461849.4995124406"
"9","100","1","500","two-layer","no index","1","1","200","2.09","0.06343000000000004","1.376815793190599","-133.00547917977966","-162.72478881626952","461813.62144096347"
"11","120","1","500","two-layer","no index","1","1","200","2.275","0.07399000000000001","1.4209153400151493","-153.23352824883287","-171.8556820437817","462176.8876083516"
"10","110","1","500","two-layer","no index","1","1","200","2.0545454545454547","0.06785000000000004","1.398935083244175","-146.29216696191295","-169.5151223924116","463147.3456171973"
"12","130","1","500","two-layer","no index","1","1","200","2.5","0.07759999999999997","1.4420648320313765","-160.5195515635623","-178.6737677435846","461779.7832042942"
"13","140","1","500","two-layer","no index","1","1","200","2.6357142857142857","0.08111999999999997","1.4625632124616441","-166.01141640610075","-183.6912154895057","462073.0351793526"
"14","150","1","500","two-layer","no index","1","1","200","2.6666666666666665","0.0815199999999999","1.4750902303597195","-169.44911887402372","-186.62723487328185","462485.8130885323"
"15","160","1","500","two-layer","no index","1","1","200","2.76875","0.08585999999999995","1.4939512446039753","-171.3942174995159","-186.01362003588025","461355.95564505603"
"16","170","1","500","two-layer","no index","1","1","200","2.9352941176470586","0.08787999999999997","1.5133208981140387","-174.74313762788273","-188.9898421774818","461063.2726580179"
"17","180","1","500","two-layer","no index","1","1","200","3.022222222222222","0.08940999999999995","1.5337744533303206","-177.71327156913688","-190.99223098997328","461558.63872508943"
"18","190","1","500","two-layer","no index","1","1","200","3.0631578947368423","0.09068000000000004","1.5460663627517102","-178.95169852129635","-191.02824861540682","461027.37368639174"
"19","200","1","500","two-layer","no index","1","1","200","3.21","0.09038999999999998","1.5672001435088838","-180.70417931506915","-193.1369679469291","461742.65464580816"
