"BehaviorSpace results (NetLogo 6.2.0)"
"multifirm_baseline.nlogo"
"single-firm_low_firm_number"
"08/16/2021 14:34:57:927 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","n-firms","transactions-per-month","n-households","setup-structure","index-in-use","framework-duration","new-agreements-per-month","[step]","TOTAL-BANKRUPT-FIRMS / n-firms","mean UNEMPLOYMENT-RATES","mean MEAN-PRICES","mean ALL-FIRM-PROFITS","mean BANKRUPT-FIRM-PROFITS","TOTAL-REVENUE"
"7","16","1","500","single-firm","no index","1","1","200","1.125","0.018750000000000003","1.3129707143918288","8182.565355394839","1863.0605236437773","387954.1263852467"
"4","13","1","500","single-firm","no index","1","1","200","0.6923076923076923","0.02372000000000004","1.292874622595377","12419.492590309614","3715.1222242726744","374289.34847851255"
"1","10","1","500","single-firm","no index","1","1","200","0","0.04498000000000001","1.4336165695449328","32595.424123819335","<RuntimePrimitiveException>","400227.8320245622"
"6","15","1","500","single-firm","no index","1","1","200","0.8","0.03104","1.3216344822677724","10353.806259558543","2570.8799867510184","380452.8264484699"
"5","14","1","500","single-firm","no index","1","1","200","0.42857142857142855","0.019790000000000006","1.3187086611676053","13879.055931403564","3901.8263815795453","386791.46285089315"
"8","17","1","500","single-firm","no index","1","1","200","0.8235294117647058","0.029020000000000025","1.2521280616039452","7797.825403252089","3756.4696976898144","360008.29790167767"
"3","12","1","500","single-firm","no index","1","1","200","0.08333333333333333","0.05873000000000002","1.4394995558218249","24656.387886529617","10765.74290546309","392986.00173603406"
"2","11","1","500","single-firm","no index","1","1","200","0.18181818181818182","0.020060000000000012","1.370339707446998","23520.397819573638","11414.279820473119","399619.25153052737"
"9","18","1","500","single-firm","no index","1","1","200","0.4444444444444444","0.0339","1.2865355593345174","9929.789062710888","6222.049643107036","368311.7428140902"
"10","19","1","500","single-firm","no index","1","1","200","1.105263157894737","0.03186000000000001","1.2305164458602396","5959.017037773097","1311.4632124033963","352787.8311871319"
"11","20","1","500","single-firm","no index","1","1","200","1.2","0.034390000000000025","1.2761580709735467","6081.834348736262","2008.7765051353065","368498.4594041933"
"12","21","1","500","single-firm","no index","1","1","200","2.6666666666666665","0.029210000000000035","1.2128810969470907","2914.339173834083","1130.4209884697998","351618.1369717817"
"13","22","1","500","single-firm","no index","1","1","200","1.7272727272727273","0.03476000000000002","1.2813494137479733","4166.13044461408","1430.6342783546868","368851.81793292746"
"15","24","1","500","single-firm","no index","1","1","200","3.5","0.032990000000000026","1.2345233425226558","2126.120668034933","878.5360791598167","356901.10000919685"
"14","23","1","500","single-firm","no index","1","1","200","1.826086956521739","0.04684000000000003","1.2933891081391105","4081.613558993248","1483.7280467638727","365279.04130764253"
"16","25","1","500","single-firm","no index","1","1","200","2.4","0.03581","1.2017590761938826","2470.9068128813424","1129.1573142989625","347149.8374781393"
"18","27","1","500","single-firm","no index","1","1","200","5.2592592592592595","0.03849000000000003","1.2448673925762899","1287.2487631839242","356.09714781712586","361180.94626050733"
"17","26","1","500","single-firm","no index","1","1","200","2.1923076923076925","0.036870000000000014","1.1937992918683145","2682.402147740748","947.5910436783371","344707.59576191875"
"19","28","1","500","single-firm","no index","1","1","200","2.7142857142857144","0.03653000000000002","1.2278767936320174","2195.7447274422807","843.733705301505","354020.38397373783"
"20","29","1","500","single-firm","no index","1","1","200","2.9655172413793105","0.04538000000000001","1.2724188750119638","2226.5687871896316","1120.4883260449096","362512.8081704405"
"21","30","1","500","single-firm","no index","1","1","200","4","0.05429999999999998","1.1780472915392426","1343.8097803093783","674.8185776542291","332549.20924441906"
