"BehaviorSpace results (NetLogo 6.2.0)"
"multifirm_baseline.nlogo"
"single-firm_varying_firm_number"
"08/13/2021 14:39:33:444 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","n-firms","transactions-per-month","n-households","setup-structure","index-in-use","[step]","TOTAL-BANKRUPT-FIRMS / n-firms","count households with [employed?]","mean [price] of firms","mean ALL-FIRM-PROFITS","mean BANKRUPT-FIRM-PROFITS","TOTAL-REVENUE"
"1","20","1","500","single-firm","no index","200","1.45","473","0.8653224703532321","609.5617586330285","200.1600521914791","508459.204007186"
"2","30","1","500","single-firm","no index","200","10.966666666666667","447","0.9304631347996059","-7.83975001518298","-68.02170862415431","502992.939992883"
"3","40","1","500","single-firm","no index","200","18.025","454","0.9106843616855341","-54.67134185951165","-79.50139259964654","497249.028089935"
"4","50","1","500","single-firm","no index","200","29.68","484","0.9004825470103849","-76.98081662732054","-89.70482048232154","493083.3614286152"
"5","60","1","500","single-firm","no index","200","33.36666666666667","433","0.9320988913728129","-80.6958281337647","-86.83327597002639","487282.6643430531"
"6","70","1","500","single-firm","no index","200","44.385714285714286","446","0.921035251461967","-89.37033434671778","-93.14438781788355","491676.32513749815"
"7","80","1","500","single-firm","no index","200","54.775","454","0.9205332177625671","-94.51002433600006","-96.23030513378524","489143.1654933961"
"8","90","1","500","single-firm","no index","200","62.22222222222222","439","0.921369209511093","-96.02701377227562","-97.03372600175979","487177.9817528339"
"11","120","1","500","single-firm","no index","200","325.4916666666667","49","1.3302441709947048","-98.76015302002469","-99.36029303836332","152376.5585647137"
"10","110","1","500","single-firm","no index","200","75.72727272727273","412","0.9839847616043229","-96.9705433308275","-97.91493800497861","476774.1515179188"
"9","100","1","500","single-firm","no index","200","67.89","428","0.8608784709059804","-95.17972497987122","-96.09373697604796","468805.465973279"
"13","140","1","500","single-firm","no index","200","98.35714285714286","435","0.9103617247081386","-97.74719194224734","-98.43973023451038","456340.6995192038"
"12","130","1","500","single-firm","no index","200","94.25384615384615","433","0.817605141573845","-97.4130873407651","-98.0687405322055","453008.3740208861"
"14","150","1","500","single-firm","no index","200","267.85333333333335","88","1.0579544121782611","-98.98534315879732","-99.55827595143091","233306.0451529625"
"16","170","1","500","single-firm","no index","200","333.9823529411765","34","1.1986940480605608","-99.13705073358314","-99.31960892444307","138253.0379506578"
"15","160","1","500","single-firm","no index","200","323.93125","73","1.3207163763982521","-99.00412248280576","-99.2851231163026","130051.36685562848"
"17","180","1","500","single-firm","no index","200","328.03333333333336","40","1.523974264221321","-99.08637661849033","-99.26944019631792","123064.09102826809"
"18","190","1","500","single-firm","no index","200","315.2894736842105","64","1.3078703808028214","-99.1227621000234","-99.24058182217736","139758.64999465822"
"19","200","1","500","single-firm","no index","200","312.455","266","1.00618107662718","-99.1918570226894","-99.37581027047723","148902.4269352231"
