"BehaviorSpace results (NetLogo 6.2.0)"
"multifirm_baseline.nlogo"
"single-firm_varying_memory_constant"
"09/06/2021 15:58:54:521 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","n-firms","transactions-per-month","n-households","setup-structure","index-in-use","framework-duration","mean-new-agreements-per-month","firm-memory-constant","[step]","TOTAL-BANKRUPT-FIRMS / n-firms","mean UNEMPLOYMENT-RATES","mean MEAN-PRICES","mean ALL-FIRM-PROFITS","mean BANKRUPT-FIRM-PROFITS","TOTAL-REVENUE"
"7","30","1","500","single-firm","no index","1","1","0.6","200","13.2","0.04278000000000004","1.3492044861984838","129.66308035411768","18.21107593526688","388372.710127526"
"8","30","1","500","single-firm","no index","1","1","0.7","200","13.4","0.04140000000000001","1.3470537788549501","113.11583122407568","24.862701304553312","388849.5826328799"
"6","30","1","500","single-firm","no index","1","1","0.5","200","13.666666666666666","0.04616","1.3438990472751593","119.87660214924838","19.74821396698484","386130.0036831624"
"5","30","1","500","single-firm","no index","1","1","0.4","200","13.566666666666666","0.045110000000000025","1.3487256811179893","138.4305757385445","64.53387014065184","387111.34710416786"
"4","30","1","500","single-firm","no index","1","1","0.3","200","13.766666666666667","0.0472","1.3350248571007703","145.64139599015365","26.221679804552974","384235.32367750147"
"3","30","1","500","single-firm","no index","1","1","0.2","200","12.766666666666667","0.05237000000000003","1.34089418087257","177.99673685590614","67.23755803361163","384369.623501532"
"2","30","1","500","single-firm","no index","1","1","0.1","200","12.533333333333333","0.04990000000000002","1.3347384397169832","141.4931653989592","30.481693357859967","384419.7062119101"
"1","30","1","500","single-firm","no index","1","1","0","200","12.633333333333333","0.04657","1.340451884398937","123.7826879773927","12.20369227951543","383774.8613634941"
"9","30","1","500","single-firm","no index","1","1","0.8","200","13.733333333333333","0.04406000000000002","1.3513655023953952","95.41923620764274","34.94866171114134","388322.1785181907"
"10","30","1","500","single-firm","no index","1","1","0.9","200","13.6","0.03662000000000003","1.345911880625286","85.55481989089334","35.76873890508016","390198.5938251885"
