BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,
baseline-run-no-land,,,,,,,,,,,,,,,,,,,,,,,
06/03/2022 16:27:29:654 -0500,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,0.997984562,0,1875,0,-100,0,0,0.002060887
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.282,0.997984562,0.068877224,1820.406296,0,-100,0,0,0.002058922
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.31,1.021670232,1.745149895,951.6886011,0.634486182,-99.36551382,0.066666667,2,0.002061477
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.364,1.036838408,2.371804213,827.6419359,0.634486182,-99.36551382,0.133333333,6,0.002069321
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.486,1.047718762,2.583147888,856.1558842,0.096217482,-99.90378252,0.033333333,7,0.002069898
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.566,1.064744201,2.671697532,719.1161603,0.096217482,-99.90378252,0,7,0.002071793
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.626,1.074766987,2.662051747,599.5610578,2.340152197,-97.6598478,0.1,10,0.002077644
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.654,1.091122048,2.633838278,639.8738797,3.132504966,-96.15151101,0.033333333,11,0.002080836
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.656,1.102897789,2.618857097,572.5589415,3.201214737,-95.47394179,0.033333333,12,0.002084539
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.684,1.11835215,2.581889268,548.2776837,4.435058872,-93.56252843,0,12,0.002086639
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,10,0.716,1.13166217,2.542124552,522.7359708,5.294318108,-90.79185584,0.033333333,13,0.002090211
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,11,0.694,1.145748424,2.495994888,524.432741,4.432231036,-89.82202994,0.033333333,14,0.002096013
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,12,0.686,1.153463807,2.457846024,537.3399561,4.781339224,-90.58244016,0.033333333,15,0.002101387
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,13,0.686,1.169984301,2.406250107,574.3524908,6.308921789,-88.28082438,0.033333333,16,0.002107382
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,14,0.64,1.18593849,2.369932472,636.0074907,6.887097553,-88.39060711,0.033333333,17,0.002115303
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,15,0.602,1.20383621,2.296010284,717.7367472,7.854212508,-88.30916331,0.033333333,18,0.002121684
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,16,0.568,1.22027464,2.184548374,828.3612573,6.283835214,-86.65926666,0,18,0.002129239
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,17,0.484,1.239016246,2.113422595,916.0024668,5.191075922,-86.58697781,0.033333333,19,0.002139661
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,18,0.412,1.244622315,2.099430292,816.4495043,3.739557116,-88.07337193,0.033333333,20,0.002147425
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,19,0.43,1.244769029,1.962089146,1086.196901,5.472654825,-85.11749693,0.033333333,21,0.002152826
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,20,0.35,1.247238579,1.96695212,963.3848431,5.472654825,-85.11749693,0,21,0.002158873
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,21,0.33,1.253135968,1.917130632,1049.79514,6.566473749,-85.99181483,0.033333333,22,0.002164322
1,FALSE,210,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,22,0.296,1.25567296,1.737340735,1289.241037,7.237464371,-83.11504283,0.033333333,23,0.002167802
